	id	sentence	linearization
516	Hin_Geo_ncert_10stnd_5ch_0113	CawwIsagaDZa ke baswara jile meM belAdilA pahAdZI SrqMKalAoM meM awi uwwama koti kA hemetAita pAyA jAwA hE	(pA_1:TAM(wA_hE_1):k7p(jilA_1:attr_gen(m):attr_num(pl):attr_per(a):r6(CawwIsagaDZa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(baswara:attr_gen(m):attr_num(sg):attr_per(a))):k1(belAdilA:attr_ne(loc)):k7p(SrqMKalA_1:attr_ne(loc):attr_gen(f):attr_num(pl):attr_per(a):mod(pahAdZI_1)):k1(hemetAita_1:r6(koti_1:attr_gen(f):attr_num(sg):attr_per(a):mod(uwwama_1:attr_ne(per):jjmod__intf(awi_1)))):CLAUSE_TYPE(affirmative))
517	Hin_Geo_ncert_10stnd_5ch_0114	jisameM isa guNavawwA ke lOha ke 14 jamAva milawe hEM.	(mila_1:TAM(wA_hE_1):k7(jo:attr_gen(-):attr_num(sg):attr_per(a)):k1(jamAva_1:attr_gen(m):attr_num(sg):attr_per(a):r6(lOha_1:attr_gen(m):attr_num(sg):attr_per(a):r6(guNavawwA_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(yaha))):card(14_1)):CLAUSE_TYPE(affirmative))
518	Hin_Geo_ncert_10stnd_5ch_0115	isameM ispAwa banAne meM AvaSyaka sarvaSreRTa BOwika guNa vixyamAna hEM.	(hE_1:TAM(0_hE_1):k7(yaha:attr_gen(-):attr_num(sg):attr_per(a)):k7(banA_1-yA_1-yA_1:k2(ispAwa_1:attr_gen(m):attr_num(sg):attr_per(a))):k1(guNa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(AvaSyaka_1:mod(sarvaSreRTa_1)):mod(BOwika_1)):mod(vixyamAna_1):CLAUSE_TYPE(affirmative))
519	Hin_Geo_ncert_10stnd_5ch_0117	ballAri-ciwraxurga, cikkamaMgalUru-wumakUru petI - karnAtaka kI isa petI meM lOha ayaska kI bqhaw rASi saMciwa hE.	(hE_1:TAM(0_hE_1):k1(ballAriciwraxurga_1:attr_ne(org)):k7p(petI_1:attr_gen(f):attr_num(sg):attr_per(a)):k7p(petI_1:pof__cn(cikkamaMgalUruwumakUru_1):r6(karnAtaka:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(yaha)):k1(rASi_1:attr_gen(f):attr_num(sg):attr_per(a):r6(ayaska_1:attr_gen(m):attr_num(sg):attr_per(a):mod(lOha_1:attr_gen(f):attr_num(sg):attr_per(a))):mod(bqhaw_1:attr_gen(m):attr_num(sg):attr_per(a))):mod(saMciwa_1):CLAUSE_TYPE(affirmative))
520	Hin_Geo_ncert_10stnd_5ch_0119	kuxremuKa nikRepa saMsAra ke sabase badZe nikRepoM meM se eka mAne jAwe hEM.	(mAna_1:TAM(wA_hE_1):k5(nikRepa_1:attr_gen(m):attr_num(pl):attr_per(a)):k5(nikRepa_1:attr_gen(m):attr_num(pl):attr_per(a):r6(saMsAra_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(kuxremuKa_1)):mod(badZA_1:jjmod__intf(sabasA_1))):card(eka_1):CLAUSE_TYPE(affirmative))
521	Hin_Geo_ncert_10stnd_5ch_0121	mahArARtra-goA petI goA waWA mahArARtra rAjya ke rawnAgirI jile meM sWiwa hE.	(hE_1:TAM(0_hE_1):k7p(waWA_1:ccof(goA:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a):nmod(petI_1:attr_ne(per):attr_gen(f):attr_num(sg):attr_per(a):pof__cn(mahArARtragoA_1))):ccof(mahArARtra:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):k7p(jilA_1:attr_gen(m):attr_num(pl):attr_per(a):r6(rAjya_1:attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(rawnAgirI:attr_ne(loc))):mod(sWiwa_1):CLAUSE_TYPE(affirmative))
522	Hin_Geo_ncert_10stnd_5ch_0123	maramAgAo pawwana se isakA niryAwa kiyA jAwA hE.	(niryAwa+kara_1:TAM(wA_hE_1):k5(pawwana_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(maramAgAo_1)):k2(yaha:attr_gen(-):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
523	Hin_Geo_ncert_10stnd_5ch_0124	mEMganIjZa muKya rUpa se ispAwa ke vinirmANa meM prayoga kiyA jAwA hE.	(prayoga+kara_1:TAM(wA_hE_1):k1(mEMganIjZa):adv(rUpa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(muKya_1)):k7(vinirmANa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(ispAwa_1:attr_gen(m):attr_num(sg):attr_per(a))):CLAUSE_TYPE(affirmative))
524	Hin_Geo_ncert_10stnd_5ch_0126	isakA upayoga blIciMga pAudara, kItanASaka xavAez va peMta banAne meM kiyA jAwA hE.	(upayoga+kara_1:TAM(wA_hE_1):k2(yaha:attr_gen(-):attr_num(sg):attr_per(a)):k7(banA_1-yA_1-yA_1:k2(va_1:ccof(pAudara_1+kItanASaka_1:pof__cn(blIciMga_1:attr_gen(m):attr_num(sg):attr_per(a))):ccof(xavA_1:attr_gen(f):attr_num(pl):attr_per(a)):ccof(peMta_1:attr_gen(m):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
525	Hin_Geo_ncert_10stnd_5ch_0129	alOha Kanija-BArawa meM alOha KanijoM kI saMciwa rASi va uwpAxana aXika saMwoRajanaka nahIM hE.	(hE_1:TAM(0_hE_1):k7(KanijaBArawa):k1(va_1:ccof(rASi_1:attr_gen(f):attr_num(sg):attr_per(a):r6(Kanija_1:attr_gen(m):attr_num(pl):attr_per(a):mod(alOha_1):mod(alOha_1)):mod(saMciwa_1:attr_ne(per))):ccof(uwpAxana_1:attr_gen(m):attr_num(sg):attr_per(a))):mod(saMwoRajanaka_1:nmod__adj(aXika_1)):neg(nahIM_1):CLAUSE_TYPE(negative))
526	Hin_Geo_ncert_10stnd_5ch_0131	Aie ! hama wAzbA bOYksAita kA viwaraNa samaJeM.	(samaJa_1:k2(A):k1(speaker:attr_gen(-):attr_num(pl):attr_per(u)):k2(viwaraNa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(wAzbA_1+bOYksAita_1)):CLAUSE_TYPE(affirmative))
527	Hin_Geo_ncert_10stnd_5ch_0132	wAzbA-BArawa meM wAzbe ke BaMdAra va uwpAxana krAMwika rUpa se nyUna hEM.	(hE_1:TAM(0_hE_1):k7(wAzbABArawa):k1(va_1:ccof(BaMdAra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(wAzbA_1:attr_gen(m):attr_num(pl):attr_per(a))):ccof(uwpAxana_1+rUpa_1:mod(krAMwika_1))):mod(nyUna_1):CLAUSE_TYPE(affirmative))
528	Hin_Geo_ncert_10stnd_5ch_0134	maXya praxeSa kI bAlAGAta KaxAneM xeSa kA lagaBaga 52 prawiSawa wAzbA uwpanna karawI hEM.	(uwpanna+kara_1:TAM(wA_hE_1):k1(KaxAna_1:attr_gen(f):attr_num(pl):attr_per(a):r6(praxeSa:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(maXya_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):nmod__adj(bAlAGAta:attr_gen(m):attr_num(sg):attr_per(a))):k2(wAzbA_1:attr_gen(m):attr_num(sg):attr_per(a):nmod(prawiSawa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a)):card(52_1:lwg__rp(lagaBaga_1)))):CLAUSE_TYPE(affirmative))
529	Hin_Geo_ncert_10stnd_5ch_0135	JAraKaMda kA siMhaBUma jilA BI wAzbe kA muKya uwpAxaka hE.	(hE_1:TAM(0_hE_1):k1(jilA_1:attr_gen(m):attr_num(sg):attr_per(a):r6(JAraKaMda:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(siMhaBUma:attr_gen(m):attr_num(sg):attr_per(a)):lwg__rp(BI_1:attr_ne(loc))):k1s(uwpAxaka_1:attr_gen(m):attr_num(sg):attr_per(a):r6(wAzbA_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(muKya_1)):CLAUSE_TYPE(affirmative))
530	Hin_Geo_ncert_10stnd_5ch_0136	rAjasWAna kI KewadZI KaxAneM BI wAzbe ke lie prasixXa WIM.	(WA_1:TAM(0_WA_1):k1(KaxAna_1:attr_gen(f):attr_num(pl):attr_per(a):r6(rAjasWAna:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):nmod__adj(KewadZI):lwg__rp(BI_1)):rt(wAzbA_1:attr_gen(m):attr_num(pl):attr_per(a)):mod(prasixXa_1):CLAUSE_TYPE(affirmative))
531	Hin_Geo_ncert_10stnd_5ch_0142	yahAz korAputa jile meM paMcapawamAlI nikRepa rAjya ke sabase mahawwvapUrNa bOYksAita nikRepa hEM.	(hE_1:TAM(0_hE_1):k7p(yahAz):k7p(jilA_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(korAputa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):k1(nikRepa_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(bOYksAita_1+nikRepa_1:r6(rAjya_1:attr_gen(m):attr_num(sg):attr_per(a):mod(paMcapawamAlI_1)):mod(mahawwvapUrNa_1:jjmod__intf(sabasA_1:attr_gen(m):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
532	Hin_Geo_ncert_10stnd_5ch_0145	isa GatanA ke wIsa varRa bAxa perisa meM BiKAriyoM ke pAsa elyUminiyama ke barwana eka Ama bAwa WI.	(WA_1:TAM(0_WA_1):k7t(varRa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(GatanA_1:attr_gen(f):attr_num(sg):attr_per(a):nmod__adj(yaha)):card(wIsa_1)):k7p(perisa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):k7(BiKArI_1:attr_gen(m):attr_num(pl):attr_per(a)):k1(barwana_1:attr_gen(m):attr_num(sg):attr_per(a):r6(elyUminiyama_1:attr_gen(m):attr_num(sg):attr_per(a))):k1s(bAwa_1:attr_gen(f):attr_num(sg):attr_per(a):card(eka_1):mod(Ama_1)):CLAUSE_TYPE(affirmative))
533	Hin_Geo_ncert_10stnd_5ch_0147	isakA cAxaroM meM vipAtana (split) AsAnI se ho sakawA hE.	(ho_1:TAM(0_sakawA_hE_1):k7(cAxara_1:attr_gen(f):attr_num(pl):attr_per(a):r6(yaha:attr_gen(-):attr_num(sg):attr_per(a))):k1(vipAtana_1):adv(AsAnI_1:attr_gen(f):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
534	Hin_Geo_ncert_10stnd_5ch_0149	aBraka pAraxarSI, kAle, hare, lAla, pIle aWavA BUre raMga kA ho sakawA hE.	(ho_1:TAM(0_sakawA_hE_1):k1(aBraka_1:attr_gen(m):attr_num(sg):attr_per(a)):k1s(raMga_1:attr_gen(m):attr_num(sg):attr_per(a):nmod(aWavA_1:mod(pIlA_1:mod(harA_1:attr_gen(m):attr_num(pl):attr_per(a):mod(pAraxarSI_1:mod(kAlA_1))):pof__cn(lAla_1:attr_gen(m):attr_num(sg):attr_per(a))):mod(BUrA_1))):CLAUSE_TYPE(affirmative))
535	Hin_Geo_ncert_10stnd_5ch_0151	aBraka ke nikRepa CotAnAgapura paTAra ke uwwarI paTArI kinAroM para pAe jAwe hEM.	(pA_1:TAM(wA_hE_1):k1(nikRepa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(aBraka_1:attr_gen(m):attr_num(sg):attr_per(a))):k7p(kinArA_1:attr_gen(m):attr_num(pl):attr_per(a):r6(paTAra_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(CotAnAgapura:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a))):nmod__adj(paTArI:mod(uwwarI_1))):CLAUSE_TYPE(affirmative))
536	Hin_Geo_ncert_10stnd_5ch_0152	bihAra-JAraKaMda kI kodaramA-gayA-hajArIbAga petI agraNI uwpAxaka hEM.	(hE_1:TAM(0_hE_1):k1(petI_1:attr_ne(per):attr_gen(f):attr_num(sg):attr_per(a):r6(bihAraJAraKaMda):pof__cn(kodaramAgayAhajArIbAga_1)):k1s(uwpAxaka_1:mod(agraNI_1)):CLAUSE_TYPE(affirmative))
537	Hin_Geo_ncert_10stnd_5ch_0153	rAjasWAna ke muKya aBraka uwpAxaka kRewra ajamera ke Asa pAsa hEM.	(hE_1:TAM(0_hE_1):k7p(Asa_1:attr_gen(f):attr_num(sg):attr_per(a):r6(ajamera:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a):nmod(kRewra_1:attr_gen(m):attr_num(sg):attr_per(a):r6(rAjasWAna:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):mod(muKya_1):pof__cn(aBraka_1:attr_gen(m):attr_num(sg):attr_per(a)):mod(uwpAxaka_1)))):CLAUSE_TYPE(affirmative))
538	Hin_Geo_ncert_10stnd_5ch_0154	AMXra praxeSa kI nellora aBraka petI BI xeSa kI mahawwvapUrNa uwpAxaka petI hE.	(hE_1:TAM(0_hE_1):attr_gen(f):attr_num(sg):attr_per(a):k1(petI_1:attr_gen(f):attr_num(sg):attr_per(a)):k1(petI_1:nmod(nellora:r6(praxeSa:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(AMXra_1:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)))):pof__cn(aBraka_1:attr_ne(per)):lwg__rp(BI_1:attr_gen(f):attr_num(sg):attr_per(a)):r6(xeSa_1):mod(mahawwvapUrNa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(uwpAxaka_1:attr_ne(per)))):CLAUSE_TYPE(affirmative))
539	Hin_Geo_ncert_10stnd_5ch_0155	cattAnI Kanija- cUnA pawWara kElSiyama yA kElSiyama kArboneta waWA mEganISiyama kArboneta se banI cattAnoM meM pAyA jAwA hE.	(pA_1:TAM(wA_hE_1):k1(waWA_1:ccof(Kanija_1+cUnA_1:mod(cattAnI_1)):ccof(yA_1):ccof(mEganISiyama_1:attr_gen(m):attr_num(sg):attr_per(a))):k7(cattAna_1:attr_gen(f):attr_num(pl):attr_per(a):nmod__k1inv(bana_1-yA_1-yA_1)):CLAUSE_TYPE(affirmative))
540	Hin_Geo_ncert_10stnd_5ch_0156	yaha aXikAMSawa: avasAxI cattAnoM meM pAyA jAwA hE.	(pA_1:TAM(wA_hE_1):k1(yaha):k7p(cattAna_1:attr_gen(f):attr_num(pl):attr_per(a):mod(aXikAMSawa_1:mod(avasAxI_1))):CLAUSE_TYPE(affirmative))
541	Hin_Geo_ncert_10stnd_5ch_0157	cUnA pawWara sImeMta uxyoga kA eka AXAraBUwa kaccA mAla howA hE.	(ho_1:TAM(wA_hE_1):k1(cUnA_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)):k1(mAla_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a):card(eka_1):mod(AXAraBUwa_1:mod(kaccA_1))):CLAUSE_TYPE(affirmative))
542	Hin_Geo_ncert_10stnd_5ch_0158	Ora lOha-pragalana kI BattiyoM ke lie anivArya hE.	(Ora_1:ccof(hE_1-0_hE_1-0_hE_1:rt(BattI_1:attr_gen(f):attr_num(pl):attr_per(a):r6(lOhapragalana_1)):mod(anivArya_1)):CLAUSE_TYPE(affirmative))
543	Hin_Geo_ncert_10stnd_5ch_0162	KaxAnoM meM kAma karane vAle Sramika lagAwAra XUla va hAnikAraka Xuez meM sAzsa lewe hue PePadZoM saMbaMXI bImAriyoM ke SikAra ho jAwe hEM.	(SikAra+ho:TAM(wA_hE_1):k1(Sramika_1:nmod(kara_1-yA_1-yA_1:k7(KaxAna_1:attr_ne(per):attr_gen(f):attr_num(pl):attr_per(a)):k2(kAma_1:attr_ne(per):attr_gen(m):attr_num(sg):attr_per(a)))):vmod(sAzsa+le_1-wA_huA_1-wA_huA_1:adv(lagAwAra_1):k7p(va_1:ccof(XUla_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(XuAz_1:attr_gen(m):attr_num(pl):attr_per(a):mod(hAnikAraka_1)))):r6(bImArI_1:attr_gen(f):attr_num(pl):attr_per(a):mod(saMbaMXI_1:jjmod(PePadZA_1))):CLAUSE_TYPE(affirmative))
544	Hin_Geo_ncert_10stnd_5ch_0163	KaxAnoM kI CawoM ke girane, sElAba Ane (jalaplAviwa honA), koyale kI KaxAnoM meM Aga lagane Axi, Kaware KaxAna SramikoM ke lie sWAI hEM.	(hE_1:TAM(0_hE_1):k1(jalaplAviwa+ho-yA_1:rt(A_1-yA_1-yA_1:k1(sElAba_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__k1inv(gira_1-yA_1-yA_1:k1(Cawa_1:attr_gen(f):attr_num(pl):attr_per(a)))))):k1(KawarA_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(laga_1-yA_1-yA_1:k2(Aga_1:attr_gen(f):attr_num(sg):attr_per(a)):lwg__rp(Axi_1))):rt(KaxAna_1+Sramika_1:pof__cn(KaxAna_1:attr_gen(f):attr_num(sg):attr_per(a)):r6(koyalA_1:attr_gen(m):attr_num(pl):attr_per(a)):pof__cn(KaxAna_1:attr_gen(f):attr_num(sg):attr_per(a))):mod(sWAI_1):CLAUSE_TYPE(affirmative))
545	Hin_Geo_ncert_10stnd_5ch_0164	KaxAna kRewroM meM Kanana ke kAraNa jala srowa saMxURiwa ho jAwe hEM.	(saMxURiwa+ho:TAM(wA_hE_1):k7p(KaxAna_1+kRewra_1):rh(Kanana_1:attr_gen(m):attr_num(sg):attr_per(a)):k1(jala_1+srowa_1):CLAUSE_TYPE(affirmative))
546	Hin_Geo_ncert_10stnd_5ch_0170	isIlie Kanija saMsAXana sImiwa waWA anavIkaraNa yogya hEM.	(hE_1:TAM(0_hE_1):rh(isIlie):k1(saMsAXana_1:attr_gen(m):attr_num(sg):attr_per(a):pof__cn(Kanija_1:attr_gen(m):attr_num(sg):attr_per(a))):k1(waWA_1:mod(sImiwa_1):ccof(anavIkaraNa)):mod(yogya_1):CLAUSE_TYPE(affirmative))
547	Hin_Geo_ncert_10stnd_5ch_0175	XAwuoM kA punaH cakraNa, raxxI XAwuoM kA prayoga waWA anya prawisWApanoM kA upayoga BaviRya meM hamAre Kanija saMsAXanoM ke saMrakRaNa ke upAya hEM.	(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):adv(punaH_1:attr_gen(f):attr_num(pl):attr_per(a)):k1(cakraNa_1):k1(upayoga_1:r6(waWA_1:attr_gen(f):attr_num(pl):attr_per(a):ccof(prayoga_1:attr_gen(f):attr_num(pl):attr_per(a):r6(XAwu_1:attr_gen(f):attr_num(pl):attr_per(a)):r6(XAwu_1:mod(raxxI_1:attr_gen(m):attr_num(sg):attr_per(a)))):ccof(prawisWApana_1:mod(anya_1:attr_gen(m):attr_num(sg):attr_per(a))))):k7(BaviRya_1:attr_gen(m):attr_num(pl):attr_per(a)):k1(upAya_1:r6(saMrakRaNa_1:attr_gen(-):attr_num(pl):attr_per(u):r6(Kanija_1+saMsAXana_1:attr_gen(m):attr_num(sg):attr_per(a):r6(speaker:attr_gen(m):attr_num(sg):attr_per(a))))):CLAUSE_TYPE(affirmative))
548	Hin_Geo_ncert_10stnd_5ch_0178	UrjA saMsAXana-UrjA saBI kriyAkalApoM ke lie AvaSyaka hEM.	(hE_1:TAM(0_hE_1):k1(UrjA_1+saMsAXanaUrjA_1):rt(kriyAkalApa_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(saba_1)):mod(AvaSyaka_1):CLAUSE_TYPE(affirmative))
549	Hin_Geo_ncert_10stnd_5ch_0179	KAnA pakAne meM, roSanI va wApa ke lie, gAdZiyoM ke saMcAlana waWA uxyogoM meM maSInoM ke saMcAlana meM UrjA kI AvaSyakawA howI hE.	(AvaSyakawA+ho:TAM(wA_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k7(pakA_1-yA_1-yA_1:k2(KAnA_1:attr_gen(m):attr_num(sg):attr_per(a))):rh(va_1:ccof(roSanI_1:attr_gen(f):attr_num(sg):attr_per(a)):ccof(wApa_1:attr_gen(m):attr_num(sg):attr_per(a))):k7(saMcAlana_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(waWA_1:attr_gen(m):attr_num(sg):attr_per(a):ccof(uxyoga_1)):k7(saMcAlana_1:attr_gen(f):attr_num(pl):attr_per(a):r6(gAdZI_1:attr_gen(f):attr_num(pl):attr_per(a)):r6(maSIna_1:attr_gen(m):attr_num(pl):attr_per(a))):r6(UrjA_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
550	Hin_Geo_ncert_10stnd_5ch_0181	UrjA saMsAXanoM ko paraMparAgawa waWA gEra-paraMparAgawa sAXanoM meM vargIkqwa kiyA jA sakawA hE.	(vargIkqwa+kara_1:TAM(0_sakawA_hE_1):k2(UrjA_1+saMsAXana_1):k7(sAXana_1:attr_gen(m):attr_num(pl):attr_per(a):nmod(waWA_1:mod(paraMparAgawa_1):mod(gEraparaMparAgawa_1))):CLAUSE_TYPE(affirmative))
551	Hin_Geo_ncert_10stnd_5ch_0182	paraMparAgawa sAXanoM meM lakadZI, upale, koyalA, petroliyama, prAkqwika gEsa waWA vixyuwa (xonoM jala vixyuwa va wApa vixyuwa) sammiliwa hEM.	(hE_1:TAM(0_hE_1):attr_gen(m):attr_num(sg):attr_per(a):k7(sAXana_1:attr_ne(org):attr_gen(m):attr_num(pl):attr_per(a):mod(paraMparAgawa_1:attr_ne(org))):k1(upalA_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(lakadZI_1)):k1(vixyuwa_1:attr_gen(f):attr_num(sg):attr_per(a)):k1(jala_1+vixyuwa_1:attr_gen(f):attr_num(sg):attr_per(a):nmod(waWA_1:attr_ne(org):ccof(gEsa_1:attr_gen(f):attr_num(sg):attr_per(a):pof__cn(koyalA_1:attr_gen(m):attr_num(sg):attr_per(a)):pof__cn(petroliyama_1:attr_ne(org):attr_gen(m):attr_num(sg):attr_per(a)):mod(prAkqwika_1))):card(xonoM_1:attr_ne(org):attr_gen(f):attr_num(sg):attr_per(a)):r6(va_1:ccof(wApa_1))):mod(sammiliwa_1):CLAUSE_TYPE(affirmative))
552	Hin_Geo_ncert_10stnd_5ch_0183	gEra-paraMparAgawa sAXanoM meM sOra, pavana, jvArIya, BU-wApIya, bAyogEsa waWA paramANu UrjA SAmila kiye jAwe hEM.	(SAmila+kara_1:TAM(wA_hE_1):k7(sAXana_1:attr_gen(m):attr_num(pl):attr_per(a):mod(gEraparaMparAgawa_1:attr_ne(org))):k2(waWA_1:ccof(paramANu_1+UrjA_1)):CLAUSE_TYPE(affirmative))
553	Hin_Geo_ncert_10stnd_5ch_0184	grAmINa BArawa meM lakadZI va upale bahuwAyawa meM prayoga kiye jAwe hEM.	(prayoga+kara_1:TAM(wA_hE_1):k7p(BArawa:attr_gen(m):attr_num(sg):attr_per(a):mod(grAmINa_1:attr_ne(org))):k7p(bahuwAyawa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(va_1:ccof(lakadZI_1):ccof(upalA_1))):CLAUSE_TYPE(affirmative))
554	Hin_Geo_ncert_10stnd_5ch_0187	paraMparAgawa UrjA ke srowa.	(srowa_1:attr_gen(m):attr_num(sg):attr_per(a):r6(UrjA_1:attr_gen(f):attr_num(sg):attr_per(a):mod(paraMparAgawa_1)):CLAUSE_TYPE(affirmative))
555	Hin_Geo_ncert_10stnd_5ch_0188	koyalA - BArawa meM koyalA bahuwAyAwa meM pAyA jAne vAlA jIvASma IMXana hE.	(hE_1:TAM(0_hE_1):k1(jIvASma_1+IMXana_1:nmod(pA_1-yA_1-yA_1:k7p(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)))):CLAUSE_TYPE(affirmative))
556	Hin_Geo_ncert_10stnd_5ch_0189	yaha xeSa kI UrjA AvaSyakawAoM kA mahawwvapUrNa BAga praxAna karawA hE.	(praxAna+kara_1:TAM(wA_hE_1):k1(yaha):k2(BAga_1:attr_gen(m):attr_num(sg):attr_per(a):r6(UrjA_1+AvaSyakawA_1:r6(xeSa_1:attr_gen(m):attr_num(sg):attr_per(a))):mod(mahawwvapUrNa_1)):CLAUSE_TYPE(affirmative))
557	Hin_Geo_ncert_10stnd_5ch_0191	BArawa apanI vANijyika UrjA AvaSyakawAoM kI pUrwi hewu muKyawaH koyale para nirBara hE.	(hE_1:TAM(0_hE_1):k1(BArawa:attr_ne(loc):attr_gen(m):attr_num(sg):attr_per(a)):rt(pUrwi_1:attr_gen(f):attr_num(sg):attr_per(a):r6(UrjA_1+AvaSyakawA_1:r6(apanA:attr_gen(-):attr_num(sg):attr_per(u)):mod(vANijyika_1))):k7(koyalA_1:attr_gen(m):attr_num(pl):attr_per(a):mod(muKyawaH_1)):mod(nirBara_1):CLAUSE_TYPE(affirmative))
558	Hin_Geo_ncert_10stnd_5ch_0193	isIlie saMpIdana kI mAwrA, gaharAI Ora xabane ke samaya ke AXAra para koyalA aneka rUpoM meM pAyA jAwA hE.	(pA_1:TAM(wA_hE_1):rh(isIlie):k1(mAwrA_1:attr_gen(f):attr_num(sg):attr_per(a):r6(saMpIdana_1:attr_gen(m):attr_num(sg):attr_per(a))):k7(AXAra_1:attr_gen(m):attr_num(sg):attr_per(a):nmod(Ora_1:ccof(gaharA_1):ccof(xaba_1-yA_1-yA_1))):k1(koyalA_1:attr_gen(m):attr_num(sg):attr_per(a)):k7(rUpA_1:attr_gen(m):attr_num(pl):attr_per(a):nmod__adj(aneka_1)):CLAUSE_TYPE(affirmative))
559	Hin_Geo_ncert_10stnd_5ch_0195	lignAita eka nimna koti kA BUrA koyalA howA hE.	(ho_1:TAM(wA_hE_1):k1(lignAita:attr_gen(m):attr_num(sg):attr_per(a)):k1s(BUrA_1:attr_gen(m):attr_num(sg):attr_per(a):r6(koti_1:attr_gen(f):attr_num(sg):attr_per(a):card(eka_1):mod(nimna_1))):k1(koyalA_1:attr_gen(m):attr_num(sg):attr_per(a)):CLAUSE_TYPE(affirmative))
560	Hin_Geo_ncert_10stnd_5ch_0198	gaharAI meM xabe waWA aXika wApamAna se praBAviwa koyale ko bixuminasa koyalA kahA jAwA hE.	(waWA_1:ccof(xaba_1-yA_1-yA_1:k7(gaharAI_1:attr_gen(f):attr_num(sg):attr_per(a))):ccof(kahA_1-wA_hE_1-wA_hE_1:k2s(koyalA_1:attr_gen(m):attr_num(sg):attr_per(a)):k2s(koyalA:attr_gen(m):attr_num(sg):attr_per(a):mod(praBAviwa_1:jjmod(wApamAna_1:attr_gen(m):attr_num(sg):attr_per(a):nmod__adj(aXika_1))):nmod__adj(bixuminasa_1))):CLAUSE_TYPE(affirmative))
561	Hin_Geo_ncert_10stnd_5ch_0199	vANijyika prayoga meM yaha sarvAXika lokapriya hE.	(hE_1:TAM(0_hE_1):k7(prayoga_1:attr_gen(m):attr_num(sg):attr_per(a):mod(vANijyika_1)):k1(yaha):mod(lokapriya_1:jjmod__intf(sarvAXika_1)):CLAUSE_TYPE(affirmative))
562	Hin_Geo_ncert_10stnd_5ch_0201	eMWresAita sarvowwama guNa vAlA kaTora koyalA hE.	(hE_1:TAM(0_hE_1):k1(eMWresAita):k1s(koyalA_1:attr_gen(m):attr_num(sg):attr_per(a):nmod(guNa_1:attr_gen(m):attr_num(sg):attr_per(a):mod(sarvowwama_1:attr_gen(m):attr_num(sg):attr_per(a))):mod(kaTora_1)):CLAUSE_TYPE(affirmative))
